"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Standard deviation",2.41640384033516,1.14929103927247,0.865137531445004,0.701961779978739,0.472394966343796,0.410194218211775,0.340096539364303,0.231132052573601,0.195972742747659
"Proportion of Variance",0.64878,0.14676,0.08316,0.05475,0.0248,0.0187,0.01285,0.00594,0.00427
"Cumulative Proportion",0.64878,0.79554,0.8787,0.93345,0.95825,0.97695,0.9898,0.99573,1
"eigen",5.83900751958649,1.320869892952,0.748462948314755,0.492750340550919,0.223157004226956,0.168259296654369,0.115665656087575,0.053422025726886,0.0384053159000403
"SVL",-0.368072911872775,0.0570472831415845,-0.376061094940552,0.248676135690429,-0.410257452030928,0.180959648679765,-0.154082386304493,0.625342873449851,-0.205313197093691
"SNL",-0.348768419620766,-0.153527062186127,-0.324134381547571,0.351331585250371,0.537256146058703,-0.55130141000325,0.171726055804982,0.0440860969763975,0.047772557159894
"HL",-0.399055496116921,0.0516663250836463,-0.0764269616825745,-0.0365750249059695,0.0320416228306618,0.0309600907258799,-0.567401073331729,-0.548010044442308,-0.454601264091172
"HW",-0.393218730907863,0.074941151389088,-0.23063826943304,0.0553125065017372,-0.127183654187322,0.324662471577274,0.0353929152452053,-0.322714279524957,0.746009920702898
"TYD",-0.0608209462792541,0.769557924531381,0.324971842711275,0.449661668374018,0.223186551570496,0.166469612037645,0.112625525141806,0.0113019524081187,-0.0770875291404855
"FAL",-0.334953038460988,0.253703782519962,0.398892054355422,-0.386214891037441,-0.155222627391373,-0.53057851205089,-0.268469011709918,0.2489410896769,0.274789267969883
"femur",-0.204741567116368,-0.543206609009779,0.608906378707982,0.367815157992138,0.138874953818584,0.2468550623979,-0.212117872852688,0.148614648988809,0.0982268885569533
"TBL",-0.378504113770787,-0.114140081974529,0.242761708998206,0.0232960659335206,-0.43642577725096,-0.120802722339861,0.660472035458412,-0.255706552150027,-0.278497426007624
"X3FinDW",-0.357686263051281,0.0142504906740759,0.00762028882265935,-0.568454778958213,0.492120205219974,0.414969522340391,0.239989005483022,0.230155679259973,-0.153981154406228
