"","contrast","estimate","conf.low","conf.high","adj.p.value","Variable"
"1","meridionalis-conjuncta",0.108138306850389,0.0840220638447953,0.132254549855983,1.79538606204233e-11,"X3FDW"
"2","picta-conjuncta",0.169084953019833,0.145599309227107,0.192570596812559,1.79440906578066e-11,"X3FDW"
"3","stickeli-conjuncta",0.190192565293866,0.159260145714554,0.221124984873177,1.79440906578066e-11,"X3FDW"
"4","picta-meridionalis",0.0609466461694432,0.0423669881537622,0.0795263041851243,4.21082058110755e-11,"X3FDW"
"5","stickeli-meridionalis",0.0820542584434762,0.054660047218266,0.109448469668687,4.66433447421366e-10,"X3FDW"
"6","stickeli-picta",0.021107612274033,-0.00573312348908235,0.0479483480371484,0.171895688737336,"X3FDW"
"7","meridionalis-conjuncta",0.120959675581358,0.0929637500496975,0.148955601113018,1.79612991146882e-11,"SNL"
"8","picta-conjuncta",0.220934460597241,0.193670581454386,0.248198339740096,1.79440906578066e-11,"SNL"
"9","stickeli-conjuncta",0.235542948885442,0.199634299480325,0.271451598290558,1.79440906578066e-11,"SNL"
"10","picta-meridionalis",0.0999747850158834,0.0784061384364779,0.121543431595289,1.79506409736518e-11,"SNL"
"11","stickeli-meridionalis",0.114583273304084,0.0827820388712724,0.146384507736896,1.88996596151014e-11,"SNL"
"12","stickeli-picta",0.0146084882882007,-0.0165502307322055,0.045767207308607,0.604550786105604,"SNL"
"13","meridionalis-conjuncta",0.0583879043177601,0.0242883548422273,0.0924874537932928,0.000170122947768303,"ForearmL"
"14","picta-conjuncta",0.122231668081171,0.0890237644997947,0.155439571662546,1.84042781015137e-11,"ForearmL"
"15","stickeli-conjuncta",0.125801549182214,0.0820641572676438,0.169538941096784,1.54684742792455e-09,"ForearmL"
"16","picta-meridionalis",0.0638437637634105,0.0375727576370734,0.0901147698897476,1.50030664003431e-07,"ForearmL"
"17","stickeli-meridionalis",0.0674136448644538,0.0286791595302095,0.106148130198698,0.00013130574980913,"ForearmL"
"18","stickeli-picta",0.00356988110104328,-0.0343820087062434,0.04152177090833,0.99454045599064,"ForearmL"
"19","meridionalis-conjuncta",0.0954965696379914,0.074879898963978,0.116113240312005,1.79509740405592e-11,"HW"
"20","picta-conjuncta",0.1207743742075,0.100696794813002,0.140851953601998,1.79440906578066e-11,"HW"
"21","stickeli-conjuncta",0.158811000307262,0.132367266618348,0.185254733996176,1.79440906578066e-11,"HW"
"22","picta-meridionalis",0.0252778045695088,0.00939429027351189,0.0411613188655057,0.000505849303275463,"HW"
